,id,host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bedrooms,beds,price,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,bathrooms,puntuacion_media
0,6369,1,1,Hispanoamérica,Chamartín,Private room in apartment,Private room,1.0,1.0,60.0,180,78,1,0.58,1.0,4.583333333333333
1,21853,0,1,Cármenes,Latina,Private room in apartment,Private room,1.0,1.0,31.0,364,33,2,0.42,1.0,4.653846153846154
4,26825,0,1,Legazpi,Arganzuela,Private room in house,Private room,1.0,1.0,26.0,365,149,1,1.12,1.0,4.612612612612613
6,30320,0,0,Sol,Centro,Entire apartment,Entire home/apt,1.0,2.0,65.0,351,170,3,1.29,1.0,4.596774193548387
7,30959,0,0,Embajadores,Centro,Entire loft,Entire home/apt,1.0,1.0,54.0,0,8,1,0.11,1.0,4.571428571428571
9,40718,1,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,2.0,79.0,302,118,11,0.91,1.0,4.523809523809524
10,40916,0,0,Universidad,Centro,Entire apartment,Entire home/apt,1.0,3.0,90.0,346,48,3,0.38,1.0,4.744186046511628
11,47957,0,1,Goya,Salamanca,Entire condominium,Entire home/apt,2.0,2.0,82.0,319,55,2,0.44,2.0,4.7368421052631575
13,62423,0,1,Justicia,Centro,Private room in apartment,Private room,1.0,2.0,24.0,357,79,2,2.21,1.5,4.696969696969697
14,64131,1,1,Peñagrande,Fuencarral - El Pardo,Private room in apartment,Private room,1.0,1.0,21.0,364,35,2,0.46,1.0,4.806451612903226
15,70059,1,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,1.0,51.0,38,41,1,0.33,1.0,4.56
16,70316,1,1,Palacio,Centro,Entire apartment,Entire home/apt,2.0,2.0,75.0,348,7,1,0.1,1.0,3.6666666666666665
17,72150,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,3.0,6.0,139.0,180,108,5,0.87,1.5,4.653846153846154
18,74352,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,80.0,288,5,1,0.11,1.0,4.8
19,75609,0,0,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,63.0,46,56,1,0.51,1.0,4.685714285714286
20,82481,0,1,Recoletos,Salamanca,Entire apartment,Entire home/apt,1.0,1.0,63.0,0,108,1,0.89,1.0,4.650602409638554
21,84719,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,1.0,46.0,37,185,1,1.53,1.0,4.6573426573426575
22,86042,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,3.0,3.0,125.0,179,153,5,1.28,1.0,4.741071428571429
23,89954,1,1,Palacio,Centro,Entire loft,Entire home/apt,2.0,3.0,114.0,365,209,1,1.75,1.0,4.801324503311259
24,92920,1,1,Justicia,Centro,Private room in apartment,Private room,1.0,1.0,70.0,363,92,1,0.76,1.5,4.864406779661017
25,93100,1,1,Universidad,Centro,Private room in apartment,Private room,1.0,2.0,45.0,289,643,3,5.31,2.0,4.647058823529412
26,96807,0,0,Palomeras Bajas,Puente de Vallecas,Private room in apartment,Private room,1.0,2.0,31.0,365,77,7,0.64,1.0,4.464285714285714
27,100411,0,1,Valverde,Fuencarral - El Pardo,Entire apartment,Entire home/apt,1.0,1.0,60.0,0,3,1,0.05,1.0,4.666666666666667
30,102194,0,1,Justicia,Centro,Entire apartment,Entire home/apt,2.0,2.0,96.0,226,23,1,0.19,1.0,4.588235294117647
31,103541,0,0,Almagro,Chamberí,Entire apartment,Entire home/apt,2.0,3.0,70.0,313,187,6,1.57,2.0,4.4822695035460995
32,114854,0,0,Rios Rosas,Chamberí,Entire apartment,Entire home/apt,1.0,2.0,70.0,320,114,6,0.98,1.0,4.588888888888889
33,119389,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,1.0,105.0,233,78,7,0.67,1.0,4.627118644067797
34,120293,0,1,Palacio,Centro,Private room in apartment,Private room,1.0,2.0,20.0,45,197,4,1.68,1.0,4.725
35,120762,1,1,Universidad,Centro,Private room in apartment,Private room,1.0,1.0,32.0,262,222,3,1.84,1.0,4.670807453416149
37,127819,0,1,Cortes,Centro,Entire apartment,Entire home/apt,2.0,2.0,148.0,343,90,1,0.86,2.5,4.666666666666667
38,132428,1,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,30.0,1,104,1,2.21,1.0,4.877777777777778
39,136058,0,1,Los Angeles,Villaverde,Private room in apartment,Private room,1.0,1.0,21.0,289,72,1,0.6,1.0,4.761904761904762
40,154224,0,1,Cortes,Centro,Entire apartment,Entire home/apt,1.0,3.0,69.0,341,84,8,0.82,1.0,4.55
42,167183,0,0,Piovera,Hortaleza,Private room in chalet,Private room,1.0,1.0,45.0,363,23,2,0.22,1.0,4.294117647058823
43,170750,0,0,Universidad,Centro,Entire apartment,Entire home/apt,2.0,4.0,91.0,340,190,2,1.65,1.0,4.7094017094017095
44,171144,0,1,Palacio,Centro,Entire apartment,Entire home/apt,2.0,2.0,120.0,1,11,1,0.09,1.0,5.0
46,177846,0,1,Universidad,Centro,Private room in apartment,Private room,1.0,2.0,20.0,365,61,4,0.52,1.0,4.447368421052632
47,177850,0,1,Universidad,Centro,Private room in apartment,Private room,1.0,2.0,18.0,365,105,4,0.93,1.0,4.36144578313253
48,196197,0,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,1.0,55.0,269,288,2,2.46,1.0,4.639423076923077
49,199016,0,1,Universidad,Centro,Private room in apartment,Private room,1.0,1.0,28.0,364,25,1,0.35,1.0,4.590909090909091
50,199201,1,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,75.0,364,149,1,1.27,1.0,4.7560975609756095
52,201033,1,1,Universidad,Centro,Private room in apartment,Private room,1.0,1.0,40.0,1,53,3,0.45,1.0,4.666666666666667
53,204570,0,0,Cortes,Centro,Entire apartment,Entire home/apt,2.0,2.0,80.0,150,100,1,0.86,2.0,4.771929824561403
55,207275,1,1,Casa de Campo,Moncloa - Aravaca,Private room in apartment,Private room,1.0,1.0,50.0,365,8,4,0.08,1.0,5.0
56,209373,0,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,30.0,277,37,1,0.33,1.0,4.611111111111111
57,209780,0,1,Abrantes,Carabanchel,Entire apartment,Entire home/apt,3.0,6.0,94.0,0,192,1,1.66,1.0,4.475524475524476
58,211444,1,0,Canillas,Hortaleza,Private room in apartment,Private room,1.0,1.0,55.0,365,122,1,1.06,1.0,4.875
59,217674,0,1,Sol,Centro,Entire apartment,Entire home/apt,2.0,6.0,101.0,316,207,7,1.81,1.0,4.763513513513513
60,219303,1,1,Universidad,Centro,Private room in apartment,Private room,3.0,2.0,19.0,364,185,3,1.6,2.0,4.564935064935065
61,225462,0,1,Cortes,Centro,Private room in apartment,Private room,1.0,1.0,30.0,338,147,1,1.3,Nan,4.681034482758621
62,225489,0,0,Arapiles,Chamberí,Private room in apartment,Private room,1.0,1.0,25.0,0,31,3,0.3,1.0,4.631578947368421
63,229664,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,0.0,43.0,289,493,3,4.25,Nan,4.402666666666667
65,240128,0,1,Opañel,Carabanchel,Private room in apartment,Private room,1.0,2.0,25.0,364,77,2,0.67,0.0,4.529411764705882
66,256004,0,1,Sol,Centro,Entire apartment,Entire home/apt,3.0,9.0,80.0,365,146,7,1.32,1.0,4.773584905660377
67,260656,1,0,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,1.0,88.0,362,36,1,0.32,1.0,4.55
68,260951,1,1,Valdefuentes,Hortaleza,Entire loft,Entire home/apt,4.0,4.0,95.0,0,135,4,1.24,1.5,4.846153846153846
69,261878,1,1,Universidad,Centro,Entire loft,Entire home/apt,1.0,1.0,67.0,151,484,1,4.22,1.0,4.870967741935484
70,263748,1,1,Valdefuentes,Hortaleza,Entire loft,Entire home/apt,2.0,2.0,64.0,37,111,4,1.05,1.0,4.636363636363637
71,268275,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,3.0,79.0,104,57,1,0.51,1.0,4.72972972972973
72,280733,0,1,Universidad,Centro,Entire serviced apartment,Entire home/apt,1.0,2.0,110.0,184,32,25,0.34,1.0,4.8
73,281224,0,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,68.0,163,106,1,1.9,1.0,4.613333333333333
74,282195,0,1,Cortes,Centro,Entire apartment,Entire home/apt,1.0,4.0,71.0,340,47,8,0.49,1.0,4.388888888888889
75,282196,0,1,Cortes,Centro,Entire apartment,Entire home/apt,1.0,2.0,59.0,341,72,8,0.65,1.0,4.448979591836735
76,282715,1,1,Recoletos,Salamanca,Entire apartment,Entire home/apt,2.0,3.0,175.0,337,111,1,1.02,2.0,4.866666666666666
77,283862,1,0,Sol,Centro,Entire apartment,Entire home/apt,2.0,3.0,106.0,0,32,1,0.47,2.0,4.7894736842105265
78,287660,0,1,Universidad,Centro,Private room in apartment,Private room,1.0,2.0,30.0,0,11,2,0.1,1.0,5.0
79,289555,0,1,Cortes,Centro,Private room in apartment,Private room,1.0,3.0,26.0,308,168,22,1.81,1.0,4.763358778625954
80,294520,0,1,Justicia,Centro,Private room in apartment,Private room,1.0,3.0,50.0,0,25,4,0.33,1.0,4.526315789473684
81,294529,0,1,Justicia,Centro,Private room in apartment,Private room,1.0,1.0,37.0,365,55,4,0.49,1.0,4.541666666666667
82,297017,0,1,Cortes,Centro,Entire apartment,Entire home/apt,1.0,2.0,89.0,344,58,6,0.91,1.0,4.608695652173913
83,310333,1,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,4.0,61.0,333,108,1,1.03,1.0,4.75
84,310678,1,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,1.0,68.0,263,311,1,2.77,1.0,4.734513274336283
85,315682,0,1,Universidad,Centro,Entire house,Entire home/apt,3.0,7.0,172.0,0,208,4,1.89,4.0,4.771186440677966
86,316711,1,1,Sol,Centro,Private room in condominium,Private room,1.0,1.0,200.0,159,15,3,0.25,1.0,4.909090909090909
87,333974,0,1,Cortes,Centro,Entire apartment,Entire home/apt,1.0,0.0,59.0,341,62,8,0.59,1.0,4.409090909090909
88,336672,1,1,Delicias,Arganzuela,Entire apartment,Entire home/apt,4.0,4.0,106.0,90,57,5,1.4,2.0,4.8478260869565215
89,336834,1,1,Justicia,Centro,Entire apartment,Entire home/apt,2.0,3.0,65.0,1,44,1,0.4,1.0,4.580645161290323
90,336869,1,1,Sol,Centro,Private room in apartment,Private room,1.0,1.0,87.0,0,105,2,0.96,1.5,4.888888888888889
91,337292,0,0,Ciudad Jardín,Chamartín,Private room in apartment,Private room,1.0,1.0,35.0,0,7,1,0.07,2.0,2.3333333333333335
92,339144,1,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,2.0,64.0,258,124,2,1.13,1.0,4.802631578947368
93,339171,0,1,Cortes,Centro,Entire apartment,Entire home/apt,1.0,2.0,82.0,304,157,1,1.44,1.0,4.77
94,339813,0,1,Cortes,Centro,Entire apartment,Entire home/apt,2.0,3.0,80.0,364,2,1,0.02,1.0,2.5
95,341939,0,0,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,1.0,55.0,289,167,1,1.51,1.0,4.844036697247707
96,342095,1,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,79.0,363,32,2,0.3,1.0,4.75
97,342557,0,1,Ciudad Jardín,Chamartín,Private room in apartment,Private room,1.0,1.0,70.0,343,55,1,0.6,1.0,4.784313725490196
98,342952,0,1,Cortes,Centro,Entire apartment,Entire home/apt,1.0,2.0,59.0,340,116,8,1.07,1.0,4.290697674418604
99,345195,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,2.0,89.0,0,4,4,0.04,2.0,3.0
100,345230,0,1,Universidad,Centro,Private room in apartment,Private room,2.0,2.0,77.0,89,4,4,0.05,1.0,1.0
101,345233,0,1,Universidad,Centro,Private room in apartment,Private room,1.0,0.0,77.0,89,4,4,0.04,1.5,3.6666666666666665
102,345249,0,1,Almenara,Tetuán,Entire apartment,Entire home/apt,3.0,4.0,166.0,325,28,2,0.28,2.0,4.75
104,354838,0,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,3.0,70.0,0,38,2,0.35,1.0,4.8
105,361053,0,1,Niño Jesús,Retiro,Entire apartment,Entire home/apt,2.0,4.0,100.0,149,155,2,1.41,1.0,4.654867256637168
106,363476,0,0,Sol,Centro,Private room in apartment,Private room,1.0,1.0,44.0,358,398,1,3.62,1.5,4.654804270462633
107,371532,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,80.0,180,78,1,0.72,1.0,4.381818181818182
108,375472,1,1,Acacias,Arganzuela,Private room in bed and breakfast,Private room,1.0,0.0,19.0,16,148,4,1.41,1.5,4.763636363636364
109,376379,0,1,Embajadores,Centro,Entire loft,Entire home/apt,1.0,1.0,42.0,258,19,2,0.21,1.0,4.75
110,377151,0,0,Fuente del Berro,Salamanca,Private room in townhouse,Private room,1.0,1.0,30.0,0,30,2,0.33,1.5,4.130434782608695
111,391795,0,1,Entrevías,Puente de Vallecas,Private room in house,Private room,1.0,1.0,35.0,365,13,2,0.12,1.0,4.875
112,396532,1,0,Sol,Centro,Entire apartment,Entire home/apt,1.0,2.0,88.0,48,119,1,1.1,1.0,4.851851851851852
113,406341,1,1,Lista,Salamanca,Private room in apartment,Private room,1.0,2.0,25.0,296,125,1,1.14,1.5,4.863636363636363
114,406697,0,1,Cortes,Centro,Entire apartment,Entire home/apt,1.0,1.0,56.0,0,383,1,3.49,1.0,4.6
116,415967,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,1.0,58.0,150,152,1,1.39,1.0,4.721153846153846
117,416705,0,1,Entrevías,Puente de Vallecas,Private room in house,Private room,1.0,1.0,30.0,351,66,2,0.6,1.0,4.782608695652174
118,420039,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,1.0,57.0,244,648,5,6.0,1.0,4.382575757575758
119,423655,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,2.0,100.0,269,2,1,0.02,1.0,1.0
122,429306,1,1,Arapiles,Chamberí,Entire condominium,Entire home/apt,2.0,4.0,103.0,264,182,2,1.7,2.0,4.8
124,431806,0,1,Casa de Campo,Moncloa - Aravaca,Private room in apartment,Private room,1.0,1.0,30.0,322,102,4,0.94,2.0,4.739130434782608
126,439715,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,1.0,100.0,365,13,1,0.12,1.0,5.0
127,440596,0,0,Trafalgar,Chamberí,Entire apartment,Entire home/apt,1.0,1.0,30.0,0,7,1,0.07,1.0,4.428571428571429
128,442986,0,1,Justicia,Centro,Entire apartment,Entire home/apt,2.0,3.0,96.0,363,18,1,0.17,1.0,4.714285714285714
130,449218,1,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,1.0,49.0,197,287,1,2.65,1.0,4.8478260869565215
131,456165,1,0,Comillas,Carabanchel,Private room in guest suite,Private room,1.0,1.0,30.0,0,7,1,0.15,1.0,5.0
133,462072,1,1,Palacio,Centro,Entire apartment,Entire home/apt,2.0,4.0,121.0,196,62,1,0.57,1.0,5.0
134,464307,0,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,3.0,85.0,104,60,1,0.55,1.0,4.970588235294118
135,467552,0,1,Almagro,Chamberí,Entire apartment,Entire home/apt,1.0,2.0,72.0,158,33,1,0.31,2.0,4.0
136,468202,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,2.0,25.0,316,269,1,2.49,1.5,4.606217616580311
137,470132,1,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,77.0,0,38,1,0.35,1.0,4.75
138,473112,0,1,Justicia,Centro,Entire apartment,Entire home/apt,3.0,3.0,74.0,152,55,1,0.51,2.0,4.529411764705882
139,479718,0,1,Rosas,San Blas - Canillejas,Private room in apartment,Private room,3.0,4.0,76.0,363,14,1,0.13,2.0,4.875
140,490610,1,1,Puerta del Angel,Latina,Private room in apartment,Private room,2.0,2.0,38.0,0,19,1,0.18,1.5,4.666666666666667
141,491070,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,1.0,70.0,364,11,1,0.1,1.0,4.625
142,492221,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,1.0,69.0,227,216,1,2.07,1.0,4.842696629213483
143,493238,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,54.0,289,205,1,1.91,1.0,4.683453237410072
144,497706,0,1,Jerónimos,Retiro,Entire loft,Entire home/apt,1.0,2.0,60.0,260,211,3,2.02,1.0,4.777027027027027
145,499911,1,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,4.0,97.0,258,161,1,1.6,1.0,4.863157894736842
146,502918,1,0,Cortes,Centro,Private room in apartment,Private room,1.0,1.0,48.0,0,86,1,1.43,1.0,4.861111111111111
147,506956,1,0,Concepción,Ciudad Lineal,Entire apartment,Entire home/apt,2.0,3.0,68.0,138,411,1,6.51,1.0,4.842261904761905
148,507614,0,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,2.0,84.0,364,23,5,0.22,1.5,4.714285714285714
149,510973,0,1,Cortes,Centro,Private room in apartment,Private room,3.0,3.0,46.0,365,4,1,0.08,2.0,5.0
150,514917,0,1,Puerta del Angel,Latina,Private room in apartment,Private room,1.0,0.0,31.0,363,27,2,0.26,1.0,4.476190476190476
151,515008,0,1,Arcos,San Blas - Canillejas,Private room in apartment,Private room,1.0,1.0,17.0,319,23,4,0.22,1.5,4.647058823529412
152,515339,0,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,65.0,0,129,1,2.04,1.0,4.404255319148936
153,518208,0,1,Arcos,San Blas - Canillejas,Private room in apartment,Private room,1.0,2.0,21.0,349,18,4,0.18,1.5,4.428571428571429
154,518511,0,0,Embajadores,Centro,Private room in apartment,Private room,1.0,2.0,40.0,365,8,1,0.09,1.0,4.75
156,521367,1,1,Sol,Centro,Entire apartment,Entire home/apt,1.0,2.0,75.0,99,121,14,1.15,1.0,4.7439024390243905
157,522563,0,1,Palacio,Centro,Entire apartment,Entire home/apt,2.0,2.0,76.0,179,91,1,1.14,1.5,4.75
158,524003,1,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,65.0,365,379,1,3.65,1.0,4.805668016194332
159,526162,0,0,Pacífico,Retiro,Private room in apartment,Private room,1.0,1.0,19.0,0,1,1,0.01,1.0,4.0
160,526513,1,1,Sol,Centro,Entire apartment,Entire home/apt,2.0,4.0,42.0,169,517,1,4.81,1.0,4.69672131147541
162,531677,1,1,Universidad,Centro,Private room in apartment,Private room,1.0,1.0,34.0,179,523,1,5.02,1.0,4.790404040404041
164,537234,0,0,Palos de Moguer,Arganzuela,Private room in apartment,Private room,1.0,1.0,25.0,0,19,2,0.18,1.5,4.866666666666666
165,540937,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,1.0,55.0,174,253,3,2.37,1.0,4.640449438202247
167,544736,0,0,Hispanoamérica,Chamartín,Private room in apartment,Private room,1.0,1.0,21.0,311,37,3,0.39,1.0,4.71875
168,545174,0,0,Gaztambide,Chamberí,Entire apartment,Entire home/apt,2.0,1.0,40.0,0,4,1,0.04,1.0,5.0
169,547050,0,0,Ibiza,Retiro,Private room in bed and breakfast,Private room,1.0,1.0,43.0,87,1,1,0.01,1.0,4.0
171,548995,1,1,Ibiza,Retiro,Entire apartment,Entire home/apt,2.0,3.0,90.0,244,148,1,1.43,1.0,4.886363636363637
172,549664,0,0,Casco Histórico de Vallecas,Villa de Vallecas,Private room in house,Private room,1.0,1.0,50.0,180,1,1,0.01,1.0,1.0
173,552183,1,1,Cortes,Centro,Private room in apartment,Private room,1.0,1.0,35.0,364,261,1,2.44,1.5,4.84180790960452
174,560941,0,1,Recoletos,Salamanca,Entire apartment,Entire home/apt,1.0,1.0,134.0,241,24,25,0.26,1.0,4.5625
175,565152,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,2.0,37.0,171,171,1,2.07,1.0,4.5038167938931295
176,566241,0,0,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,50.0,0,30,2,0.29,1.0,4.6521739130434785
177,568190,0,1,Puerta del Angel,Latina,Private room in apartment,Private room,1.0,1.0,20.0,0,195,1,1.92,1.0,4.88
178,570158,1,1,Cuatro Caminos,Tetuán,Private room in apartment,Private room,2.0,0.0,20.0,336,34,2,0.33,1.0,4.571428571428571
180,576487,1,1,Casco Histórico de Barajas,Barajas,Entire house,Entire home/apt,2.0,6.0,78.0,236,400,1,3.86,1.0,4.689349112426036
182,586726,0,1,Casa de Campo,Moncloa - Aravaca,Entire apartment,Entire home/apt,2.0,0.0,86.0,173,30,2,0.33,1.0,4.066666666666666
183,588382,0,1,Embajadores,Centro,Entire house,Entire home/apt,2.0,3.0,190.0,0,5,1,0.06,2.0,5.0
184,588518,1,1,Palacio,Centro,Entire loft,Entire home/apt,1.0,1.0,165.0,277,56,1,0.7,1.0,4.9411764705882355
185,590710,0,1,San Fermín,Usera,Private room in apartment,Private room,1.0,1.0,50.0,362,57,1,0.55,1.0,4.725
186,598771,1,1,Palos de Moguer,Arganzuela,Entire apartment,Entire home/apt,1.0,1.0,85.0,363,78,1,0.83,1.0,4.906976744186046
187,599134,0,0,Sol,Centro,Private room in apartment,Private room,1.0,1.0,33.0,87,7,1,0.07,1.0,5.0
188,599885,0,1,Justicia,Centro,Private room in apartment,Private room,1.0,1.0,25.0,131,146,1,1.38,1.0,4.752212389380531
189,599977,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,1.0,37.0,197,407,5,3.85,1.0,4.399253731343284
190,604150,0,0,Castellana,Salamanca,Entire apartment,Entire home/apt,1.0,2.0,110.0,362,2,1,0.02,1.0,4.5
191,604632,0,1,Berruguete,Tetuán,Private room in apartment,Private room,1.0,2.0,23.0,365,41,3,0.57,1.0,4.410256410256411
192,605339,1,0,Lucero,Latina,Private room in house,Private room,1.0,1.0,14.0,69,174,3,1.66,1.0,4.8125
193,606923,0,1,Aravaca,Moncloa - Aravaca,Private room in townhouse,Private room,1.0,1.0,28.0,76,22,2,0.77,1.0,4.526315789473684
194,607548,0,1,San Diego,Puente de Vallecas,Private room in apartment,Private room,1.0,3.0,45.0,0,3,1,0.03,1.0,2.5
196,610675,0,0,Sol,Centro,Entire apartment,Entire home/apt,1.0,2.0,70.0,0,7,1,0.07,1.0,5.0
197,616027,0,1,Prosperidad,Chamartín,Private room in apartment,Private room,1.0,1.0,23.0,0,74,1,0.71,1.0,4.861538461538461
199,625566,0,1,Acacias,Arganzuela,Entire house,Entire home/apt,1.0,1.0,60.0,0,25,1,0.27,2.0,4.9523809523809526
201,631737,0,0,Castilla,Chamartín,Entire condominium,Entire home/apt,2.0,4.0,75.0,132,1,1,0.01,2.0,5.0
202,642863,0,1,Universidad,Centro,Private room in apartment,Private room,1.0,1.0,46.0,89,46,3,0.45,1.0,4.75
203,643471,0,1,Embajadores,Centro,Private room in apartment,Private room,1.0,2.0,10.0,0,53,2,0.58,1.0,4.066666666666666
204,644656,0,1,Pueblo Nuevo,Ciudad Lineal,Private room in apartment,Private room,1.0,1.0,25.0,365,2,3,0.11,1.0,4.5
205,647376,0,1,Palacio,Centro,Entire apartment,Entire home/apt,2.0,2.0,58.0,364,16,1,0.17,1.0,4.777777777777778
206,647891,0,1,Gaztambide,Chamberí,Private room in apartment,Private room,1.0,1.0,40.0,76,57,1,0.65,1.0,4.72093023255814
208,656520,1,0,Embajadores,Centro,Entire guest suite,Entire home/apt,1.0,2.0,65.0,74,28,1,0.27,1.5,4.6923076923076925
209,659887,0,1,Pacífico,Retiro,Private room in apartment,Private room,2.0,4.0,29.0,364,5,2,0.08,1.0,4.0
210,663761,0,1,Casco Histórico de Vallecas,Villa de Vallecas,Private room in house,Private room,1.0,2.0,23.0,0,4,1,0.06,1.0,4.0
213,678413,0,0,Acacias,Arganzuela,Entire apartment,Entire home/apt,1.0,2.0,70.0,363,23,1,0.22,1.0,3.6923076923076925
214,680784,0,0,Universidad,Centro,Private room in apartment,Private room,1.0,1.0,48.0,1,7,1,0.07,1.0,4.75
217,683969,0,0,Puerta Bonita,Carabanchel,Entire apartment,Entire home/apt,2.0,1.0,20.0,0,1,1,0.01,1.0,1.0
218,684564,0,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,108.0,0,137,1,1.49,1.0,4.857142857142857
219,685152,0,1,Pinar del Rey,Hortaleza,Entire house,Entire home/apt,4.0,12.0,182.0,354,77,6,1.24,3.0,4.584905660377358
220,689099,0,0,Costillares,Ciudad Lineal,Private room in apartment,Private room,1.0,1.0,40.0,0,15,1,0.15,2.0,5.0
221,691344,0,1,Delicias,Arganzuela,Private room in apartment,Private room,1.0,0.0,20.0,288,73,3,0.71,1.0,4.310344827586207
223,692358,1,1,Los Angeles,Villaverde,Entire apartment,Entire home/apt,3.0,4.0,88.0,179,176,6,1.71,2.0,4.700854700854701
224,692855,0,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,75.0,106,222,1,2.16,1.0,4.824427480916031
225,694867,1,1,Los Angeles,Villaverde,Entire apartment,Entire home/apt,3.0,3.0,70.0,179,162,6,2.03,1.0,4.7043478260869565
226,695909,1,1,Universidad,Centro,Entire apartment,Entire home/apt,3.0,4.0,141.0,289,216,1,3.22,1.0,4.571428571428571
227,696928,1,0,Lista,Salamanca,Shared room in apartment,Shared room,1.0,4.0,50.0,365,55,2,0.98,1.0,4.6
228,697858,0,1,Bellas Vistas,Tetuán,Private room in apartment,Private room,1.0,1.0,35.0,0,47,1,1.62,1.0,4.8
230,708275,0,0,El Viso,Chamartín,Entire apartment,Entire home/apt,1.0,1.0,50.0,364,5,2,0.05,1.0,4.8
231,709208,1,1,Sol,Centro,Entire apartment,Entire home/apt,1.0,1.0,69.0,198,553,1,5.33,1.5,4.834645669291339
232,710156,0,1,Alameda de Osuna,Barajas,Private room in apartment,Private room,1.0,2.0,31.0,44,176,3,1.7,1.0,4.73758865248227
233,716292,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,4.0,81.0,258,76,1,0.87,1.0,4.612244897959184
234,717313,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,1.0,85.0,298,163,1,1.57,2.0,4.909090909090909
235,721377,0,1,Valverde,Fuencarral - El Pardo,Entire loft,Entire home/apt,1.0,2.0,50.0,306,30,1,0.3,1.0,4.666666666666667
236,723088,0,1,Justicia,Centro,Entire apartment,Entire home/apt,2.0,3.0,75.0,328,159,1,1.54,2.0,4.660194174757281
237,724700,1,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,89.0,0,32,3,0.43,1.0,4.619047619047619
239,727588,0,1,San Diego,Puente de Vallecas,Entire apartment,Entire home/apt,2.0,2.0,44.0,334,22,4,0.32,1.0,4.4
240,730347,0,1,Sol,Centro,Entire serviced apartment,Entire home/apt,2.0,5.0,140.0,227,159,4,1.63,2.0,4.767241379310345
241,730502,0,1,Palacio,Centro,Entire apartment,Entire home/apt,2.0,4.0,79.0,333,24,4,0.31,2.0,4.944444444444445
242,730746,0,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,1.0,130.0,267,64,1,0.65,2.0,4.738095238095238
243,733365,1,0,Arapiles,Chamberí,Private room in apartment,Private room,1.0,1.0,27.0,318,50,1,0.6,1.0,4.914285714285715
244,734053,0,0,Ibiza,Retiro,Private room in house,Private room,1.0,1.0,50.0,365,4,1,0.07,1.0,5.0
245,738837,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,0.0,40.0,48,135,1,1.48,1.0,4.5
246,743650,0,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,26.0,364,255,1,2.57,1.0,4.466321243523316
